"date","fips","mmwr_week","recip_county","recip_state","series_complete_pop_pct","series_complete_yes","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","completeness_pct","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","svi_ctgy","series_complete_pop_pct_svi","series_complete_12pluspop_pct_svi","series_complete_18pluspop_pct_svi","series_complete_65pluspop_pct_svi"
"2021-08-23T00:00:00.000","28123","34","Scott County","MS","33.7","9477","9477","41.2","9128","44.3","3386","78.1","98.3","12168","43.3","12165","52.9","11440","55.5","3704","85.4","High","Low-Mod VC/High SVI","Mod-High VC/High SVI","Mod-High VC/High SVI","High VC/High SVI"
"2021-08-23T00:00:00.000","48473","34","Waller County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","High",,,,
"2021-08-23T00:00:00.000","UNK","34","Unknown County","PW","0","14532","14532","0.0","13697","0","1684","0","0","16096","0","16096","0.0","14951","0","1744","0",,,,,
"2021-08-23T00:00:00.000","17131","34","Mercer County","IL","45.4","7013","7001","52.3","6666","54.8","2656","78.9","97.7","8843","57.3","8828","65.9","8305","68.2","3225","95.8","Low","Mod-High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","UNK","34","Unknown County","IN","0","44433","44417","0.0","43386","0","9898","0","98.6","48619","0",,"0.0",,"0",,"0",,,,,
"2021-08-23T00:00:00.000","42031","34","Clarion County","PA","38.2","14695","14695","43.6","14319","45.8","6001","77","93.8","16457","42.8","16457","48.8","15981","51.1","6474","83","Low-Mod","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","24025","34","Harford County","MD","58.5","149419","149414","68.2","140641","70.7","38305","90.6","98.6","163106","63.9","163095","74.4","152326","76.6","40219","95.1","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","29101","34","Johnson County","MO","30.3","16400","16400","35.6","15704","37","4348","62.4","91","19610","36.3","19609","42.6","18616","43.9","4676","67.1","Low-Mod","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","47055","34","Giles County","TN","29.1","8568","8567","33.6","8426","36.1","3833","63.3","97.8","10039","34.1","10037","39.4","9798","42","4150","68.6","Mod-High","Low VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","22065","34","Madison Parish","LA","30.1","3301","3301","35.9","3206","38.4","1073","65.6","96.3","4052","37","4052","44.1","3875","46.4","1232","75.4","High","Low-Mod VC/High SVI","Low-Mod VC/High SVI","Low-Mod VC/High SVI","Mod-High VC/High SVI"
"2021-08-23T00:00:00.000","37077","34","Granville County","NC","45.2","27350","27322","51.8","26164","54.4","7592","71.1","96.3","31963","52.9","31915","60.5","30238","62.9","8209","76.9","Mod-High","Mod-High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","38105","34","Williams County","ND","21.5","8071","8069","27.3","7852","29.6","2316","67","95.1","9829","26.1","9825","33.3","9468","35.7","2575","74.5","Low-Mod","Low VC/Low-Mod SVI","Low VC/Low-Mod SVI","Low VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","19157","34","Poweshiek County","IA","49.2","9110","9110","56.4","8755","58.8","3165","80","97.5","9812","53","9812","60.7","9370","63","3294","83.3","Low","Mod-High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","48363","34","Palo Pinto County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","High",,,,
"2021-08-23T00:00:00.000","37025","34","Cabarrus County","NC","41.3","89486","89402","49.4","83339","51.6","22539","77.5","96.3","108324","50","108189","59.7","99669","61.7","24489","84.3","Low-Mod","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","72069","34","Humacao Municipio","PR","61.1","30951","30942","68.5","28764","69.2","8381","97.3","96","35825","70.7","35802","79.3","32943","79.2","9301","99.9","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","37029","34","Camden County","NC","31.5","3424","3422","36.6","3347","39.8","969","52.9","96.3","4259","39.2","4253","45.5","4139","49.2","1364","74.4","Low-Mod","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","45091","34","York County","SC","35.2","98787","98570","41.6","92378","43.3","24121","58.3","93.7","122189","43.5","121826","51.4","113108","53","31200","75.4","Low-Mod","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","13225","34","Peach County","GA","8.6","2381","2381","10.0","2153","9.9","536","11.8","54.9","3306","12","3305","13.9","2937","13.5","664","14.6","High","Low VC/High SVI","Low VC/High SVI","Low VC/High SVI","Low VC/High SVI"
"2021-08-23T00:00:00.000","06001","34","Alameda County","CA","66.4","1109032","1105329","76.6","1026512","77.1","204241","85.5","97.3","1249698","74.8","1244299","86.2","1152279","86.6","227828","95.4","Low-Mod","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","08011","34","Bent County","CO","20","1118","1117","22.2","1077","22.8","371","35.2","97.4","1221","21.9","1219","24.3","1159","24.6","393","37.3","High","Low VC/High SVI","Low VC/High SVI","Low VC/High SVI","Low-Mod VC/High SVI"
"2021-08-23T00:00:00.000","31021","34","Burt County","NE","47.9","3096","3096","55.9","2953","59","1254","79.7","88.9",,"0",,"0.0",,"0",,"0","Low-Mod","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","01003","34","Baldwin County","AL","34.4","76858","76856","39.9","74543","42.4","32124","68.6","92","109282","49","109277","56.7","104552","59.5","40383","86.2","Low","Low-Mod VC/Low SVI","Low-Mod VC/Low SVI","Mod-High VC/Low SVI","Mod-High VC/Low SVI"
"2021-08-23T00:00:00.000","20107","34","Linn County","KS","28.5","2765","2765","32.8","2708","35.7","1237","55.3","93.5","3159","32.6","3158","37.5","3068","40.5","1335","59.7","Low-Mod","Low VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Mod-High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","51167","34","Russell County","VA","27.2","7233","7229","30.9","6994","32.4","2653","44.3","51.3","8604","32.4","8597","36.8","8261","38.2","3074","51.3","Low-Mod","Low VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI","Low-Mod VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","18153","34","Sullivan County","IN","39.7","8206","8206","45.3","8072","48.2","2945","77.1","98.6","8883","43","8883","49.1","8644","51.6","3028","79.3","Mod-High","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI","High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","12021","34","Collier County","FL","56.9","219082","219075","63.8","213217","66.6","110266","87","98.6","259026","67.3","258987","75.4","250008","78.1","123791","97.7","Low-Mod","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","38065","34","Oliver County","ND","20.4","399","398","24.4","392","26.8","202","45.5","95.1","432","22.1","431","26.5","419","28.6","208","46.8","Low","Low VC/Low SVI","Low VC/Low SVI","Low VC/Low SVI","Low-Mod VC/Low SVI"
"2021-08-23T00:00:00.000","30011","34","Carter County","MT","24.8","310","310","29.5","309","31.5","176","53.8","95.6","331","26.4","331","31.5","330","33.6","185","56.6","Low","Low VC/Low SVI","Low VC/Low SVI","Low-Mod VC/Low SVI","Mod-High VC/Low SVI"
"2021-08-23T00:00:00.000","72047","34","Corozal Municipio","PR","59","19050","19048","66.1","17480","66","4433","80.7","96","22466","69.6","22457","78.0","20412","77","5010","91.3","High","High VC/High SVI","High VC/High SVI","High VC/High SVI","High VC/High SVI"
"2021-08-23T00:00:00.000","48313","34","Madison County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","High",,,,
"2021-08-23T00:00:00.000","35039","34","Rio Arriba County","NM","58.7","22835","22832","69.2","20729","69.2","5282","67.6","83.3","23341","60",,"0.0",,"0",,"0",,,,,
"2021-08-23T00:00:00.000","19075","34","Grundy County","IA","51.7","6328","6328","60.5","6136","64.9","2288","88.2","97.5","6929","56.6","6929","66.3","6559","69.3","2359","90.9","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","21037","34","Campbell County","KY","54.6","51095","51093","63.4","48282","65.1","12889","85.5","93.4","58269","62.3","58266","72.3","54482","73.5","13846","91.9","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","48223","34","Hopkins County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","Mod-High",,,,
"2021-08-23T00:00:00.000","31075","34","Grant County","NE","13.8","86","86","16.7","81","17.3","32","22.5","88.9","87","14",,"0.0",,"0",,"0","Low","Low VC/Low SVI","Low VC/Low SVI","Low VC/Low SVI","Low VC/Low SVI"
"2021-08-23T00:00:00.000","22073","34","Ouachita Parish","LA","33.4","51190","51190","39.9","49418","42.7","17324","73.7","96.3","62084","40.5","62082","48.4","58843","50.9","18523","78.8","High","Low-Mod VC/High SVI","Low-Mod VC/High SVI","Mod-High VC/High SVI","High VC/High SVI"
"2021-08-23T00:00:00.000","18019","34","Clark County","IN","50.4","59586","59583","59.2","56712","61.7","17018","89","98.6","65307","55.2","65295","64.9","61567","67","17490","91.5","Low-Mod","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","37105","34","Lee County","NC","42.1","26010","26004","49.9","24762","52.5","8377","80.5","96.3","31155","50.4","31140","59.7","29368","62.3","8947","86","High","Mod-High VC/High SVI","Mod-High VC/High SVI","High VC/High SVI","High VC/High SVI"
"2021-08-23T00:00:00.000","27039","34","Dodge County","MN","48","10040","10009","57.0","9253","59.4","2707","85.3","94.4","11016","52.6","10972","62.5","10110","64.9","2785","87.7","Low","Mod-High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
